track_id,track_name,spotify_url,lyrics,cover_image_url
6XrWIKoIwqomse4ZmBnjQd,Life Goes On,https://open.spotify.com/track/6XrWIKoIwqomse4ZmBnjQd,,https://i.scdn.co/image/ab67616d0000b273f937fcfe85c48f3939f886af
27L8sESb3KR79asDUBu8nW,Stacy's Mom,https://open.spotify.com/track/27L8sESb3KR79asDUBu8nW,,https://i.scdn.co/image/ab67616d0000b273079e826265dffc3a8a26bac5
0ZUjPkZKjzRi6bgIuJovfY,How Can We Be Lovers,https://open.spotify.com/track/0ZUjPkZKjzRi6bgIuJovfY,,https://i.scdn.co/image/ab67616d0000b273e29b51efdf81e17c63880ef0
46LTPfvrxlgNLyIGBup4O2,Teenage Crime,https://open.spotify.com/track/46LTPfvrxlgNLyIGBup4O2,,https://i.scdn.co/image/ab67616d0000b273fbb35fef34df7e6d7bb4fc41
2a1o6ZejUi8U3wzzOtCOYw,Danza Kuduro,https://open.spotify.com/track/2a1o6ZejUi8U3wzzOtCOYw,,https://i.scdn.co/image/ab67616d0000b2734640a26eb27649006be29a94
1iola53QSlUVnceCbxr15K,Buy Me A Pony,https://open.spotify.com/track/1iola53QSlUVnceCbxr15K,,https://i.scdn.co/image/ab67616d0000b273b3a1594c9b9187a6a07e79d3
3PfERRzizJqTx0fuRmBgtH,You're so Vain,https://open.spotify.com/track/3PfERRzizJqTx0fuRmBgtH,,https://i.scdn.co/image/ab67616d0000b273d7523cde1c32f5ecd7447b6c
0C3nGIOCvSsRwc0zpAJ9Db,Got to Get It,https://open.spotify.com/track/0C3nGIOCvSsRwc0zpAJ9Db,,https://i.scdn.co/image/ab67616d0000b27355fce527065d0f792af677b9
0QdePZJfBpRIBautuT4FSx,Angels Like You,https://open.spotify.com/track/0QdePZJfBpRIBautuT4FSx,,https://i.scdn.co/image/ab67616d0000b27350061ccded678a361a2009ec
2EnaF6Nll7GTSAyaXvd2qW,Circles on the Water,https://open.spotify.com/track/2EnaF6Nll7GTSAyaXvd2qW,,https://i.scdn.co/image/ab67616d0000b273fbbb74fb0b223bb7146eb58e
